experiment,fitness,
14.27.5939,104.85,
41.0.8724,104.031,
47.43.6803,103.979,
16.9.7743,101.341,
42.41.9713,101.13,
43.53.8066,100.572,
15.28.9030,100.505,
49.30.1079,100.11,
8.55.6470,100.044,
14.6.3536,99.829,
14.47.2163,99.349,
7.41.4718,99.203,
16.29.4272,99.006,
15.48.9980,98.381,
9.19.7291,98.23,
15.8.2159,98.126,
9.44.5812,98.11,
47.23.1159,98.04,
48.24.7669,97.043,
43.5.8258,96.839,
48.46.9370,96.622,
49.7.9963,96.415,
24.42.3956,96.285,
32.0.5775,96.273,
26.11.2612,95.365,
26.51.6859,95.336,
43.30.1813,95.121,
41.50.9774,94.786,
42.17.2521,94.748,
10.10.9170,94.552,
52.1.7883,94.185,
8.30.4325,94.027,
58.27.4960,93.943,
8.4.7989,93.529,
7.16.5982,93.462,
41.24.7032,93.216,
49.51.8306,93.213,
58.7.8918,93.18,
38.33.6957,93.16,
38.9.4078,92.947,
48.2.5184,92.775,
32.18.8249,91.976,
52.23.5558,91.869,
24.20.7349,91.242,
57.21.5838,91.028,
33.0.2382,90.848,
25.2.3935,90.194,
31.40.5953,89.974,
39.30.6731,89.074,
59.59.5452,88.888,
30.37.7835,88.748,
59.35.8718,88.258,
44.15.4682,88.137,
31.20.3428,87.812,
44.37.3461,87.519,
4.52.1519,87.005,
25.25.8239,86.829,
46.38.5002,86.693,
56.5.1970,86.637,
56.30.5442,86.414,
5.14.6064,86.102,
32.38.4431,85.86,
37.42.9077,85.634,
39.0.9501,85.563,
56.56.4179,85.453,
46.16.5480,85.337,
55.5.8271,84.803,
50.42.5702,84.683,
45.1.5097,84.667,
26.29.9645,84.563,
6.1.4428,84.481,
6.25.6460,84.027,
59.10.9068,83.977,
50.14.6255,83.818,
0.23.9986,83.668,
5.37.9984,83.208,
37.17.4538,82.88,
39.57.5793,82.866,
53.12.3803,82.549,
47.0.5714,82.464,
11.30.5671,82.329,
4.28.5146,82.299,
13.42.1559,82.297,
25.46.9399,82.265,
11.4.7288,82.073,
57.43.8625,81.615,
52.46.2831,80.641,
11.56.5069,80.437,
6.49.9874,80.307,
58.47.4557,80.235,
10.38.3102,80.209,
2.19.9464,79.897,
12.51.3965,79.649,
4.4.1553,79.31,
51.36.3505,79.297,
13.16.8716,79.15,
54.36.9515,79.023,
3.12.1360,78.856,
45.26.2685,78.62,
45.52.9547,78.223,
53.37.4994,78.098,
30.57.6778,77.882,
0.53.4583,77.86,
3.37.8212,77.676,
33.20.9369,77.468,
1.54.2102,76.597,
51.9.3445,76.062,
27.36.8260,75.913,
54.6.8012,75.325,
40.27.8509,74.74,
1.24.7336,74.595,
2.45.1574,74.337,
34.44.4066,73.757,
30.12.9792,73.617,
29.48.3732,72.783,
28.1.3905,72.272,
36.13.1101,71.809,
27.10.4197,71.21,
33.46.2563,70.92,
55.33.1911,69.834,
28.26.7475,69.307,
12.22.6404,68.876,
36.42.6369,68.427,
35.42.8154,68.188,
35.12.2032,66.611,
29.21.6909,66.266,
34.13.9738,64.199,
28.52.9939,60.121,

