experiment,fitness,
10.11.1933,53.65,
59.4.4581,49.817,
9.35.8973,49.25,
8.58.5137,49.16,
2.55.5125,48.704,
11.19.5790,46.98,
29.54.7770,46.776,
1.38.2505,45.926,
12.26.2324,45.087,
21.25.8323,44.759,
10.45.3164,44.457,
30.29.1590,43.837,
29.19.2581,43.623,
18.41.8602,43.246,
22.3.6636,42.776,
28.5.9358,42.179,
2.15.8803,41.273,
3.32.7492,40.493,
31.44.4950,40.368,
0.17.1609,40.268,
22.43.9882,39.326,
59.39.1299,39.286,
12.58.8224,38.898,
11.52.5611,38.776,
45.6.7651,38.11,
19.19.9879,37.581,
28.42.2651,37.318,
20.40.4113,36.852,
31.5.8604,35.885,
18.1.3479,35.873,
32.23.1763,34.065,
51.22.6335,33.794,
0.55.8445,32.257,
43.56.1236,30.407,
54.18.1438,30.151,
19.59.5938,29.562,
32.57.5729,29.197,
43.21.2324,28.851,
50.11.4999,27.695,
25.33.2717,26.906,
36.29.5854,26.355,
53.42.8334,26.272,
51.56.2075,26.158,
42.10.6368,26.059,
52.31.3688,25.98,
45.40.3291,25.899,
26.42.2075,23.969,
26.7.2600,23.857,
37.4.5475,22.964,
27.16.9935,22.899,
27.51.7729,22.654,
35.54.9399,22.54,
35.19.5277,22.438,
53.7.1151,22.023,
33.32.2205,21.508,
28.27.9206,21.281,
44.30.7847,19.075,
42.45.6021,18.881,
34.7.8133,18.536,
41.34.7575,17.755,
50.47.1425,17.483,
24.21.7925,15.797,
7.46.4676,15.354,
34.43.2885,13.015,
24.57.7030,11.106,
20.56.4909,10.548,
5.58.6399,9.15,
38.9.6217,8.783,
22.54.6129,7.85,
58.31.3193,7.794,
27.32.7068,7.544,
24.36.2510,7.525,
14.36.5870,6.51,
8.22.3258,6.369,
48.13.7006,6.333,
54.52.9649,6.307,
21.25.5087,6.266,
31.30.4871,6.204,
22.25.4874,6.092,
6.34.5234,5.944,
30.31.8032,5.19,
7.11.9463,5.17,
56.56.2479,5.16,
15.42.9628,5.14,
46.14.9167,5.12,
57.59.7479,5.12,
55.24.5698,5.1,
40.8.8897,5.044,
32.28.6308,5.034,
31.1.2895,4.959,
16.16.4450,4.91,
23.23.6235,3.84,
23.51.9211,3.83,
5.22.6316,3.8,
55.54.2595,3.78,
4.45.2149,3.78,
24.1.3880,3.78,
15.10.2745,3.76,
23.24.8094,3.74,
57.28.2703,3.72,
14.4.3235,3.72,
47.42.4536,3.7,
31.59.3561,3.67,
39.38.9189,2.45,
38.40.4018,2.43,
40.37.7482,2.42,
48.43.3120,2.42,
49.12.8157,2.42,
21.55.5540,2.41,
25.13.5476,2.41,
13.32.6992,2.4,
16.51.5169,2.4,
17.26.2761,2.4,
26.24.1411,2.4,
46.44.2577,2.39,
47.13.2876,2.39,
26.59.1581,2.39,
29.3.7281,2.37,
20.27.9868,2.36,
39.9.6113,2.36,
25.49.6042,2.35,
29.33.1248,1.0,
30.1.5922,1.0,
37.39.9374,1.0,
41.6.7325,1.0,
49.41.7849,1.0,
56.25.3636,1.0,
4.11.6685,1.0,

