experiment,fitness,
33.13.8202,87.428,
9.50.5678,86.193,
3.19.7745,84.882,
1.29.9635,84.1,
40.5.8656,83.043,
2.25.4140,81.242,
14.48.8801,79.596,
34.26.7126,79.243,
19.26.6409,79.175,
31.55.2315,78.92,
11.9.9216,78.829,
4.13.9651,78.679,
8.57.9302,77.988,
2.52.3299,77.92,
41.33.1290,77.66,
34.1.7010,77.371,
9.24.1870,77.218,
10.14.3128,77.005,
32.47.4627,76.955,
32.20.9528,76.935,
51.32.2205,76.932,
33.36.7904,76.882,
29.44.9221,76.854,
39.8.4306,76.759,
1.56.6805,76.657,
41.3.3414,76.563,
8.31.7942,76.546,
40.33.1079,76.304,
7.16.6173,76.085,
38.12.6148,75.943,
21.37.3685,75.671,
39.36.8113,75.634,
20.18.5133,75.38,
20.44.1675,75.02,
5.36.5981,74.591,
22.4.6014,74.476,
38.40.1726,74.177,
12.42.2317,74.158,
34.51.6995,74.084,
21.10.3879,73.732,
14.23.6109,73.669,
11.36.7779,73.149,
13.33.5362,72.872,
37.20.5997,72.72,
22.31.7377,72.638,
35.15.7877,72.476,
4.40.2680,72.267,
47.55.5288,72.204,
19.50.9086,71.984,
31.27.1848,71.888,
27.53.9145,71.869,
12.16.4943,71.744,
3.44.9587,71.687,
6.25.8423,71.279,
30.8.2567,71.125,
13.58.2786,70.924,
10.41.2581,70.485,
57.28.6343,70.256,
36.5.2367,70.241,
52.49.3032,70.074,
28.49.6931,70.037,
48.22.7932,69.995,
11.51.1960,69.704,
43.30.8686,69.6,
44.29.6837,69.274,
36.55.6386,69.04,
56.56.4782,68.993,
57.57.3663,68.976,
59.58.6279,68.48,
46.25.9437,68.458,
43.2.1838,68.38,
6.0.4084,68.301,
50.13.5679,67.933,
35.39.9310,67.817,
29.16.5894,67.771,
48.50.2414,67.717,
49.47.6712,67.647,
36.29.6676,67.594,
42.3.6934,67.218,
30.33.9846,66.961,
44.0.5220,66.673,
13.6.9863,66.552,
8.5.9819,66.483,
47.26.7094,66.31,
58.56.3607,65.83,
53.45.3902,65.212,
31.0.3932,64.741,
58.26.1161,64.43,
44.57.2002,64.267,
54.48.2089,63.922,
45.25.9146,63.463,
37.45.3492,63.362,
52.22.5132,63.357,
55.51.5737,63.334,
28.20.6226,63.296,
45.55.2764,63.177,
42.31.7261,62.864,
6.50.4111,62.83,
51.55.5807,61.975,
56.23.6016,61.922,
49.17.9047,61.913,
0.59.1755,61.354,
7.39.3334,61.346,
0.27.5058,61.093,
55.19.3993,61.043,
51.4.9991,60.621,
50.38.1868,59.97,
46.55.3568,58.37,
53.14.5318,58.143,
5.8.4866,57.507,
15.42.4428,57.499,
59.26.1821,56.699,
17.15.7769,56.005,
15.11.1899,55.167,
54.14.8916,54.885,
16.12.2785,53.115,
16.43.9580,52.824,
23.38.4521,52.754,
25.26.9253,52.474,
27.17.2277,52.23,
17.46.6921,51.906,
18.19.4289,51.748,
24.13.8535,51.408,
18.52.8334,50.755,
24.50.3449,50.724,
26.40.3047,50.087,
26.3.1208,48.552,
23.0.3609,45.069,

