experiment,fitness,
0.29.1858,53.175,
24.43.1652,52.4455,
34.10.6469,51.3865,
20.4.9519,50.8915,
50.30.7330,50.6785,
23.16.7889,49.9315,
55.35.7658,49.583,
40.49.9245,49.565,
55.35.5894,49.496,
5.33.9747,49.488,
40.13.2465,48.83,
36.34.6470,48.733,
10.28.8991,48.225,
28.8.4653,47.78,
55.51.9903,47.7365,
46.32.5025,47.6595,
3.54.6307,47.5595,
44.28.4646,47.348,
16.5.9090,47.1025,
14.25.9678,46.9855,
49.38.7940,46.674,
48.9.2202,46.414,
57.56.2217,46.1575,
21.25.7228,46.1095,
12.50.3045,46.057,
14.19.2739,45.8765,
30.57.3833,45.857,
54.36.9050,45.8095,
23.42.6227,45.716,
46.38.6617,45.7085,
33.11.6634,45.675,
22.22.2839,45.634,
43.7.7846,45.5175,
51.8.7528,45.4675,
42.24.5616,45.453,
18.27.5314,45.2295,
8.44.3139,45.19,
20.50.5729,44.914,
26.57.5373,44.9,
37.50.5172,44.877,
38.11.2641,44.7625,
31.45.9558,44.6755,
7.28.9522,44.655,
13.39.9736,44.398,
1.30.2962,44.3635,
29.21.7081,44.354,
48.46.3166,44.296,
9.46.8252,44.2695,
11.11.4767,44.2495,
11.52.7068,44.1485,
45.45.3176,44.137,
19.1.8397,44.1335,
4.25.4435,44.133,
51.55.2134,44.088,
41.34.3596,43.9995,
58.59.1794,43.8785,
16.41.9096,43.5535,
33.2.1461,43.5075,
25.40.5291,43.497,
16.40.5115,43.418,
21.23.2289,43.2875,
59.31.3850,43.2465,
26.13.6299,43.0735,
0.29.8409,43.068,
0.22.3505,42.9885,
54.0.5696,42.969,
7.59.8614,42.8715,
40.36.5044,42.8305,
3.2.6216,42.767,
33.19.9612,42.666,
35.43.3636,42.6,
17.38.2315,42.4555,
48.4.1128,42.4115,
51.33.7870,42.377,
6.52.2889,42.1145,
1.57.1562,42.0565,
50.34.6414,42.023,
15.11.3560,41.985,
6.16.9191,41.9525,
58.7.1382,41.862,
57.57.8479,41.8395,
26.0.7001,41.7875,
53.32.3168,41.57,
28.34.5611,41.519,
44.8.2553,41.5165,
43.11.1339,41.3935,
45.33.5711,41.3545,
19.0.4501,41.1625,
38.59.6407,41.062,
23.46.9825,40.7565,
30.31.7587,40.6345,
56.29.5631,40.575,
56.54.1146,40.525,
49.3.8229,40.442,
35.28.3571,40.386,
35.42.1254,40.3625,
47.14.8626,40.034,
42.27.8182,39.919,
2.40.8448,39.508,
53.3.6688,39.3995,
9.20.4980,39.125,
44.52.9558,39.0765,
30.47.4601,38.9495,
12.2.5177,38.786,
52.57.7399,38.754,
28.20.1524,36.607,
5.4.2560,36.41,
38.7.1075,34.8835,

