experiment,fitness,
32.17.2173,55.255,
36.9.8195,52.0895,
34.12.9991,51.479,
5.44.6306,50.7975,
20.58.8371,50.6565,
32.18.9783,50.3585,
38.8.8344,50.2695,
10.18.8893,50.2595,
12.31.7319,50.139,
23.11.2008,50.1295,
56.30.3762,49.799,
25.25.1621,48.9325,
14.46.5681,48.7565,
54.25.5201,48.583,
45.2.6190,48.576,
28.13.7056,48.381,
42.42.5216,48.205,
34.26.6467,47.502,
3.25.9021,47.2905,
18.50.5771,47.0155,
16.50.2129,46.948,
52.14.1120,45.7175,
40.18.6007,44.799,
29.59.1712,44.7105,
58.36.3035,44.1745,
30.13.8341,43.9815,
47.20.7444,43.4525,
7.57.4802,43.2135,
27.38.2641,43.017,
26.11.5970,42.528,
49.47.2597,40.866,
0.57.8335,37.498,

