generation,number_of_networks,maximum_fitness,average_fitness,
0,20,128,21.35
1,22,133,19.14
2,22,144,25.05
3,22,140,26.77
4,22,127,54.09
5,22,135,20.14
6,22,137,20.36
7,22,111,27.23
8,22,143,44.82
9,22,96,12.95
10,22,126,18.32
11,22,138,51.95
12,22,133,40.0
13,22,128,24.59
14,22,141,32.5
15,22,142,47.91
16,22,133,29.36
17,22,139,23.32
18,22,137,36.95
19,22,127,26.59
20,22,139,24.45
21,22,100,5.5
22,21,138,28.05
23,22,139,38.0
24,22,133,37.95
25,22,130,18.23
26,22,141,37.23
27,22,136,23.73
28,22,125,23.95
29,22,144,26.82
30,22,131,17.27
31,22,136,34.59
32,22,132,37.91
33,22,141,33.45
34,22,136,31.55
35,22,138,39.09
36,22,114,17.95
37,22,125,16.27
38,22,134,47.05
39,22,143,33.14
40,22,139,23.0
41,22,142,36.64
42,22,142,37.18
43,22,132,35.41
44,22,129,44.18
45,22,141,52.82
46,22,140,23.82
47,22,140,19.41
48,22,108,9.32
49,22,123,25.45
