experiment,fitness,
47.3.13,103.877,
24.35.20,102.667,
53.5.73,101.424,
51.46.68,101.292,
53.42.46,101.275,
53.23.67,101.13,
31.21.13,100.69,
52.5.43,100.153,
29.2.13,100.031,
29.20.72,99.952,
52.46.34,99.903,
24.53.14,99.825,
25.51.27,99.298,
46.3.85,99.293,
15.42.12,99.062,
47.40.87,98.891,
23.55.57,98.837,
46.23.12,98.478,
51.26.96,98.407,
47.59.99,97.899,
17.38.76,97.314,
31.1.97,97.297,
26.9.95,96.442,
30.40.93,96.173,
48.19.63,95.65,
47.20.87,95.571,
27.48.93,95.517,
25.31.55,95.488,
25.11.88,95.479,
29.59.80,95.36,
29.39.44,95.135,
24.15.28,95.125,
33.41.63,93.322,
30.20.33,93.154,
11.11.35,92.817,
22.37.75,92.644,
28.25.30,92.466,
46.42.38,92.395,
9.48.43,91.963,
38.11.78,91.702,
17.20.37,91.64,
21.16.30,90.996,
32.42.80,90.959,
39.10.83,90.958,
52.24.61,90.906,
28.43.11,89.426,
17.1.34,89.112,
33.2.12,88.864,
23.15.92,88.573,
27.29.21,88.079,
16.20.54,88.068,
10.29.65,88.025,
38.51.40,87.734,
9.7.10,87.639,
26.49.62,87.551,
31.39.59,87.202,
10.50.14,87.111,
50.44.25,86.64,
27.8.86,86.584,
22.55.98,86.428,
9.28.15,86.289,
43.57.41,86.239,
37.32.22,86.203,
40.57.41,86.194,
48.39.74,86.149,
50.24.15,86.121,
28.5.45,85.92,
37.52.21,85.901,
26.29.62,85.481,
45.43.45,85.052,
37.9.88,84.691,
15.21.70,84.67,
36.47.53,84.136,
43.16.50,84.129,
44.39.64,83.892,
39.29.72,83.593,
16.40.36,83.291,
23.35.23,83.261,
21.34.98,83.148,
50.3.49,82.901,
33.21.93,82.661,
42.53.68,82.621,
10.7.99,82.371,
49.42.33,82.29,
11.30.55,82.034,
42.30.77,81.914,
15.59.30,81.886,
40.10.88,81.881,
22.17.20,81.871,
39.50.62,81.837,
33.59.59,81.713,
21.56.24,81.342,
32.21.75,81.335,
40.34.16,81.192,
45.22.10,81.113,
41.42.78,81.073,
43.36.64,80.977,
49.21.24,80.609,
31.59.53,79.738,
41.19.21,79.629,
48.59.94,79.609,
35.34.82,79.185,
38.30.10,78.876,
35.58.71,78.494,
18.46.37,78.296,
34.20.97,77.873,
13.36.87,77.361,
34.45.37,77.128,
51.4.35,76.375,
36.22.77,76.064,
44.59.88,75.972,
44.17.16,75.727,
42.6.21,75.079,
18.21.87,74.624,
35.9.63,73.749,
11.52.45,72.494,
20.51.37,72.224,
20.1.17,71.921,
20.26.15,71.333,
12.44.57,70.243,
19.35.60,69.928,
14.29.12,69.763,
17.56.18,68.876,
19.9.52,68.785,
14.54.95,66.448,
13.10.13,65.916,
12.17.20,63.652,
14.1.54,61.392,

