experiment,fitness,
32.1.5440,68.147,
29.10.3879,64.857,
8.2.8739,64.33,
5.20.5507,62.206,
6.15.6948,60.908,
21.20.9744,59.612,
6.41.2542,59.529,
14.52.6670,58.95,
7.8.1124,58.348,
30.7.7611,57.938,
31.33.4307,56.957,
30.36.6616,56.874,
7.35.2866,55.861,
13.52.7222,55.75,
13.23.7927,55.676,
32.27.2441,55.387,
31.4.9013,55.215,
21.48.9636,54.662,
23.47.9501,54.142,
5.46.8492,53.223,
8.28.2035,52.702,
22.49.1310,52.322,
24.15.6398,51.979,
24.44.4331,51.915,
14.21.3956,51.415,
23.18.8415,51.284,
29.37.5150,50.555,
49.47.4715,49.306,
50.50.9134,46.727,
22.18.5111,46.382,
0.32.9378,46.227,
12.51.4218,45.983,
15.21.9353,45.925,
16.30.3603,45.912,
51.54.2735,45.844,
59.32.1633,44.835,
15.55.5102,44.634,
51.21.6914,42.772,
41.48.8849,41.901,
59.0.8365,40.108,
42.18.1449,40.102,
58.29.7501,39.94,
48.43.7025,39.34,
57.57.2864,39.157,
49.15.6770,38.724,
0.1.8790,37.59,
57.22.7268,36.129,
1.1.2779,36.02,
32.39.1680,35.423,
50.17.4735,34.698,
42.47.9750,31.766,
52.26.6960,31.369,
44.24.9993,30.188,
33.10.7467,28.465,
34.50.2274,28.292,
41.17.1539,28.184,
43.52.4276,27.135,
34.17.9328,27.015,
36.29.5831,25.073,
33.43.5918,24.759,
35.22.9954,24.159,
35.56.5924,23.999,
40.45.2525,23.883,
20.20.2212,23.589,
3.27.1525,22.988,
43.19.6169,21.687,
1.32.7527,19.778,
18.47.7066,19.545,
47.47.2172,18.793,
4.51.9148,18.471,
2.30.4909,18.363,
10.24.3393,17.551,
11.22.8834,17.431,
20.50.7098,16.821,
26.12.1648,16.698,
28.9.8079,16.556,
12.21.2323,16.543,
8.56.3421,16.176,
2.59.1203,15.782,
19.20.3921,15.111,
26.41.5476,14.408,
18.15.4802,14.157,
48.15.3625,14.122,
25.13.5478,14.079,
2.1.1151,14.004,
11.51.6264,13.969,
4.22.6403,13.968,
56.52.5161,13.861,
3.55.3406,13.812,
55.16.2119,13.205,
19.50.1390,13.157,
17.5.8175,12.756,
17.41.8449,12.325,
47.19.3958,11.707,
27.39.6938,11.57,
55.49.5071,11.466,
28.40.4606,11.295,
53.2.8129,10.808,
30.46.9010,10.552,
37.2.2752,10.404,
38.27.8316,10.115,
10.53.1331,9.12,
40.18.2991,9.104,
28.53.8234,9.083,
56.21.2743,9.005,
9.55.7187,8.87,
32.11.5634,7.932,
31.42.6294,7.871,
27.9.9335,7.805,
29.22.6012,7.78,
39.23.4654,7.767,
44.56.6309,7.729,
9.26.3695,7.639,
54.9.3434,6.68,
31.15.1053,6.542,
54.43.4594,6.512,
37.59.6424,6.441,
29.50.1831,6.401,
46.51.3261,6.309,
46.22.6087,6.304,
45.25.7493,5.21,
38.55.8922,5.17,
25.43.2929,5.034,
37.31.8467,5.028,
39.51.1855,3.81,
53.35.5275,3.76,
45.54.5967,3.659,
30.17.8807,2.44,

