experiment,fitness,
10.27.4025,57.303,
40.54.1209,52.974,
13.3.9755,51.613,
28.4.2919,50.327,
31.27.3235,49.584,
29.11.3472,49.118,
12.33.6994,48.951,
38.56.3758,46.984,
14.3.7563,46.953,
18.38.3285,44.955,
13.32.5995,44.654,
28.39.3483,43.888,
21.8.7624,42.647,
31.59.3081,41.479,
20.31.2700,41.433,
41.30.2645,41.213,
30.18.4760,40.688,
38.18.1623,40.601,
29.43.9991,40.313,
36.57.1709,39.677,
21.45.4239,39.59,
19.54.1221,39.577,
39.34.8617,38.457,
40.15.2578,37.758,
22.23.7488,37.72,
23.3.3914,36.963,
12.1.5966,36.939,
30.51.9846,36.502,
11.29.1438,36.385,
37.37.2390,35.011,
3.37.4955,32.541,
10.56.1031,32.278,
19.15.5705,32.094,
56.43.5986,31.46,
55.35.1737,30.15,
6.2.4184,29.885,
4.14.2929,28.28,
5.26.5620,27.945,
2.59.6337,27.815,
54.25.2524,27.07,
57.15.9019,26.365,
2.21.2419,25.378,
53.50.5287,24.885,
53.15.7181,24.757,
55.0.9539,24.345,
4.50.5313,23.871,
1.42.9980,22.765,
56.8.6372,21.031,
46.42.6055,16.152,
40.11.1241,16.122,
40.46.7296,16.093,
37.54.7566,15.757,
38.28.2519,15.265,
39.36.8982,14.782,
6.36.5720,13.582,
45.2.6960,13.441,
47.51.1009,12.743,
36.45.7915,12.122,
45.35.4548,11.92,
46.8.7018,11.33,
18.5.4011,11.325,
47.17.2755,11.213,
16.4.7756,11.191,
35.16.5753,10.112,
17.3.7077,10.092,
26.56.2354,9.882,
39.2.4280,9.846,
37.21.2692,9.604,
9.30.7345,9.087,
51.50.9729,9.054,
0.42.8345,8.787,
35.50.1106,8.668,
48.24.9621,8.617,
14.36.8500,7.797,
8.3.1231,7.762,
34.42.8477,7.699,
32.33.3342,7.525,
7.33.9767,7.487,
48.58.4880,7.038,
50.26.5815,6.6,
15.5.3296,6.6,
15.34.8575,6.409,
25.22.7997,6.302,
24.49.6329,6.235,
33.5.4595,6.183,
16.34.1760,5.16,
9.1.4607,5.08,
34.8.2743,5.042,
59.43.5880,5.005,
9.59.3607,3.84,
33.37.2362,3.83,
17.34.3595,3.81,
41.49.1183,3.8,
58.45.3868,3.79,
8.32.3462,3.77,
51.22.3761,3.67,
34.0.4218,3.65,
1.12.2862,3.614,
26.25.3075,2.44,
34.55.4662,2.43,
35.50.6304,2.42,
24.17.9000,2.42,
52.18.7931,2.41,
41.21.4193,2.39,
7.6.1120,2.39,
27.27.3081,2.38,
0.13.1510,2.36,
52.46.9311,2.34,
42.16.8397,2.33,
59.14.2397,2.29,
32.56.8771,1.0,
33.28.1060,1.0,
34.27.9714,1.0,
35.23.7697,1.0,
36.18.2222,1.0,
42.45.9079,1.0,
43.13.1606,1.0,
43.40.8813,1.0,
44.7.7541,1.0,
44.34.9081,1.0,
49.31.1684,1.0,
49.58.8978,1.0,
50.54.5624,1.0,
57.49.7288,1.0,
58.17.8239,1.0,
23.42.6241,1.0,
25.54.5922,1.0,
36.23.6494,1.0,

